Название_дисциплины,Название_департамента,курс,семестр,лекции,практические_занятия,лабораторные_работы,всего_часов_аудиторной,МАО,самостоятельая_работа,на_подготовку_к_экзамену,контрольные_работы,курсовая_работа,зачет,экзамен,цель_дисциплины,задачи_цисциплины,лекции
"Алгоритмы и структуры данных","Информатики, математического и компьютерного моделирования","3,","2,",0,36,36,144,36,9,,,,,3,"получение фундаментальных основ и навыков алгоритмизации и программирования. Знакомство с технологическим циклом создания программного продукта и подготовка к решению прикладных задач программирования из любой предметной области с использованием любого подходящего языка программирования.","•	изучить понятие алгоритма, свойства алгоритма, типы алгоритмических моделей, способы описания алгоритмов
•	получить представление об основах программирования и этапах решения задачи программирования;
•	владеть языками программирования;
•	знать стандартные алгоритмы, лежащие в основе решения задач программирования и уметь применять их на практике;
•	овладеть практическими навыками решения задач, начиная от ее постановки и формализации и заканчивая отладкой и тестированием.
•	научиться методам практической реализации программ на примере языков программирования С++, Python, PascalАВС.",
"Алгоритмы и структуры данных","Информатики, математического и компьютерного моделирования","3,","2,",0,36,36,144,36,9,,,,,3,"получение фундаментальных основ и навыков алгоритмизации и программирования. Знакомство с технологическим циклом создания программного продукта и подготовка к решению прикладных задач программирования из любой предметной области с использованием любого подходящего языка программирования.","•	изучить понятие алгоритма, свойства алгоритма, типы алгоритмических моделей, способы описания алгоритмов
•	получить представление об основах программирования и этапах решения задачи программирования;
•	владеть языками программирования;
•	знать стандартные алгоритмы, лежащие в основе решения задач программирования и уметь применять их на практике;
•	овладеть практическими навыками решения задач, начиная от ее постановки и формализации и заканчивая отладкой и тестированием.
•	научиться методам практической реализации программ на примере языков программирования С++, Python, PascalАВС.",
